Genre,Film Link
action,/film/super-fly/
action,/film/tears-of-the-sun/
action,/film/justice-league-throne-of-atlantis/
action,/film/robocop-3/
action,/film/leo-2023-1/
action,/film/congo/
action,/film/the-big-boss/
action,/film/max-payne/
action,/film/jonah-hex/
action,/film/krull/
action,/film/the-wandering-earth/
action,/film/the-kitchen-2019/
action,/film/red-heat/
action,/film/the-wave-2015/
action,/film/vantage-point/
action,/film/godzilla-final-wars/
action,/film/hot-pursuit-2015/
action,/film/game-of-death/
action,/film/tangled-ever-after/
action,/film/death-sentence-2007/
action,/film/charlie-countryman/
action,/film/taxi-2004/
action,/film/battlefield-earth/
action,/film/fatman/
action,/film/miami-blues/
action,/film/drug-war/
action,/film/godzilla-vs-destoroyah/
action,/film/batman-mr-freeze-subzero/
action,/film/hitman-agent-47/
action,/film/diva/
action,/film/the-stronghold-2021/
action,/film/limbo-2021/
action,/film/bahubali-2-the-conclusion/
